	Rhodotorula_mucilaginosa_CHIFNET_18NJ590.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa	Sum	PhylogenyCoverage	CopyType
GF00000001	59	25	84	1.0	multi-copy
GF00000002	42	15	57	1.0	multi-copy
GF00000003	33	22	55	1.0	multi-copy
GF00000004	34	17	51	1.0	multi-copy
GF00000005	35	14	49	1.0	multi-copy
GF00000006	33	13	46	1.0	multi-copy
GF00000007	30	13	43	1.0	multi-copy
GF00000008	30	12	42	1.0	multi-copy
GF00000009	28	13	41	1.0	multi-copy
GF00000010	23	18	41	1.0	multi-copy
GF00000011	24	15	39	1.0	multi-copy
GF00000012	26	10	36	1.0	multi-copy
GF00000013	22	11	33	1.0	multi-copy
GF00000014	24	9	33	1.0	multi-copy
GF00000015	24	8	32	1.0	multi-copy
GF00000016	21	10	31	1.0	multi-copy
GF00000017	21	9	30	1.0	multi-copy
GF00000018	18	11	29	1.0	multi-copy
GF00000019	19	9	28	1.0	multi-copy
GF00000020	19	9	28	1.0	multi-copy
GF00000021	20	6	26	1.0	multi-copy
GF00000022	18	8	26	1.0	multi-copy
GF00000023	18	7	25	1.0	multi-copy
GF00000024	17	8	25	1.0	multi-copy
GF00000025	18	7	25	1.0	multi-copy
GF00000026	18	6	24	1.0	multi-copy
GF00000027	16	8	24	1.0	multi-copy
GF00000028	17	6	23	1.0	multi-copy
GF00000029	14	8	22	1.0	multi-copy
GF00000030	19	3	22	1.0	multi-copy
GF00000031	14	7	21	1.0	multi-copy
GF00000032	14	7	21	1.0	multi-copy
GF00000033	16	5	21	1.0	multi-copy
GF00000034	13	8	21	1.0	multi-copy
GF00000035	17	4	21	1.0	multi-copy
GF00000036	13	8	21	1.0	multi-copy
GF00000037	14	6	20	1.0	multi-copy
GF00000038	15	5	20	1.0	multi-copy
GF00000039	12	7	19	1.0	multi-copy
GF00000040	15	4	19	1.0	multi-copy
GF00000041	13	6	19	1.0	multi-copy
GF00000042	13	6	19	1.0	multi-copy
GF00000043	14	5	19	1.0	multi-copy
GF00000044	13	6	19	1.0	multi-copy
GF00000045	11	8	19	1.0	multi-copy
GF00000046	15	4	19	1.0	multi-copy
GF00000047	16	3	19	1.0	multi-copy
GF00000048	15	4	19	1.0	multi-copy
GF00000049	12	6	18	1.0	multi-copy
GF00000050	12	6	18	1.0	multi-copy
GF00000051	14	4	18	1.0	multi-copy
GF00000052	11	6	17	1.0	multi-copy
GF00000053	12	5	17	1.0	multi-copy
GF00000054	12	5	17	1.0	multi-copy
GF00000055	10	7	17	1.0	multi-copy
GF00000056	12	5	17	1.0	multi-copy
GF00000057	11	6	17	1.0	multi-copy
GF00000058	11	6	17	1.0	multi-copy
GF00000059	11	5	16	1.0	multi-copy
GF00000060	11	5	16	1.0	multi-copy
GF00000061	10	6	16	1.0	multi-copy
GF00000062	11	5	16	1.0	multi-copy
GF00000063	11	5	16	1.0	multi-copy
GF00000064	12	4	16	1.0	multi-copy
GF00000065	12	4	16	1.0	multi-copy
GF00000066	11	5	16	1.0	multi-copy
GF00000067	11	5	16	1.0	multi-copy
GF00000068	12	4	16	1.0	multi-copy
GF00000069	11	5	16	1.0	multi-copy
GF00000070	10	6	16	1.0	multi-copy
GF00000071	11	4	15	1.0	multi-copy
GF00000072	11	4	15	1.0	multi-copy
GF00000073	11	4	15	1.0	multi-copy
GF00000074	11	4	15	1.0	multi-copy
GF00000075	12	3	15	1.0	multi-copy
GF00000076	10	5	15	1.0	multi-copy
GF00000077	11	4	15	1.0	multi-copy
GF00000078	11	4	15	1.0	multi-copy
GF00000079	14	1	15	1.0	multi-copy
GF00000080	10	5	15	1.0	multi-copy
GF00000081	10	5	15	1.0	multi-copy
GF00000082	10	5	15	1.0	multi-copy
GF00000083	10	4	14	1.0	multi-copy
GF00000084	11	3	14	1.0	multi-copy
GF00000085	12	2	14	1.0	multi-copy
GF00000086	10	4	14	1.0	multi-copy
GF00000087	9	5	14	1.0	multi-copy
GF00000088	10	4	14	1.0	multi-copy
GF00000089	12	2	14	1.0	multi-copy
GF00000090	9	5	14	1.0	multi-copy
GF00000091	10	4	14	1.0	multi-copy
GF00000092	11	3	14	1.0	multi-copy
GF00000093	10	4	14	1.0	multi-copy
GF00000094	10	4	14	1.0	multi-copy
GF00000095	10	4	14	1.0	multi-copy
GF00000096	8	6	14	1.0	multi-copy
GF00000097	10	4	14	1.0	multi-copy
GF00000098	10	4	14	1.0	multi-copy
GF00000099	9	4	13	1.0	multi-copy
GF00000100	10	3	13	1.0	multi-copy
GF00000101	12	1	13	1.0	multi-copy
GF00000102	9	4	13	1.0	multi-copy
GF00000103	12	1	13	1.0	multi-copy
GF00000104	11	2	13	1.0	multi-copy
GF00000105	10	3	13	1.0	multi-copy
GF00000106	10	3	13	1.0	multi-copy
GF00000107	9	4	13	1.0	multi-copy
GF00000108	11	2	13	1.0	multi-copy
GF00000109	9	4	13	1.0	multi-copy
GF00000110	9	4	13	1.0	multi-copy
GF00000111	10	3	13	1.0	multi-copy
GF00000112	9	4	13	1.0	multi-copy
GF00000113	7	6	13	1.0	multi-copy
GF00000114	8	5	13	1.0	multi-copy
GF00000115	7	6	13	1.0	multi-copy
GF00000116	8	4	12	1.0	multi-copy
GF00000117	8	4	12	1.0	multi-copy
GF00000118	9	3	12	1.0	multi-copy
GF00000119	10	2	12	1.0	multi-copy
GF00000120	9	3	12	1.0	multi-copy
GF00000121	9	3	12	1.0	multi-copy
GF00000122	8	4	12	1.0	multi-copy
GF00000123	9	3	12	1.0	multi-copy
GF00000124	8	4	12	1.0	multi-copy
GF00000125	8	4	12	1.0	multi-copy
GF00000126	9	3	12	1.0	multi-copy
GF00000127	9	3	12	1.0	multi-copy
GF00000128	9	3	12	1.0	multi-copy
GF00000129	11	1	12	1.0	multi-copy
GF00000130	8	4	12	1.0	multi-copy
GF00000131	8	4	12	1.0	multi-copy
GF00000132	9	3	12	1.0	multi-copy
GF00000133	8	4	12	1.0	multi-copy
GF00000134	9	3	12	1.0	multi-copy
GF00000135	9	3	12	1.0	multi-copy
GF00000136	10	2	12	1.0	multi-copy
GF00000137	7	4	11	1.0	multi-copy
GF00000138	9	2	11	1.0	multi-copy
