	Rhodotorula_mucilaginosa_CHIFNET_18NJ590.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa	Sum	PhylogenyCoverage	CopyType
GF00000139	8	3	11	1.0	multi-copy
GF00000140	8	3	11	1.0	multi-copy
GF00000141	8	3	11	1.0	multi-copy
GF00000142	8	3	11	1.0	multi-copy
GF00000143	10	1	11	1.0	multi-copy
GF00000144	8	3	11	1.0	multi-copy
GF00000145	7	4	11	1.0	multi-copy
GF00000146	8	3	11	1.0	multi-copy
GF00000147	6	5	11	1.0	multi-copy
GF00000148	6	5	11	1.0	multi-copy
GF00000149	10	1	11	1.0	multi-copy
GF00000150	8	2	10	1.0	multi-copy
GF00000151	9	1	10	1.0	multi-copy
GF00000152	7	3	10	1.0	multi-copy
GF00000153	8	2	10	1.0	multi-copy
GF00000154	6	4	10	1.0	multi-copy
GF00000155	7	3	10	1.0	multi-copy
GF00000156	7	3	10	1.0	multi-copy
GF00000157	7	3	10	1.0	multi-copy
GF00000158	9	1	10	1.0	multi-copy
GF00000159	8	2	10	1.0	multi-copy
GF00000160	9	1	10	1.0	multi-copy
GF00000161	7	3	10	1.0	multi-copy
GF00000162	7	3	10	1.0	multi-copy
GF00000163	7	3	10	1.0	multi-copy
GF00000164	7	3	10	1.0	multi-copy
GF00000165	6	4	10	1.0	multi-copy
GF00000166	7	3	10	1.0	multi-copy
GF00000167	7	3	10	1.0	multi-copy
GF00000168	7	3	10	1.0	multi-copy
GF00000169	7	3	10	1.0	multi-copy
GF00000170	7	3	10	1.0	multi-copy
GF00000171	7	3	10	1.0	multi-copy
GF00000172	7	3	10	1.0	multi-copy
GF00000173	8	2	10	1.0	multi-copy
GF00000174	7	3	10	1.0	multi-copy
GF00000175	6	4	10	1.0	multi-copy
GF00000176	8	2	10	1.0	multi-copy
GF00000177	6	4	10	1.0	multi-copy
GF00000178	8	2	10	1.0	multi-copy
GF00000179	7	3	10	1.0	multi-copy
GF00000180	7	3	10	1.0	multi-copy
GF00000181	8	2	10	1.0	multi-copy
GF00000182	8	2	10	1.0	multi-copy
GF00000183	7	3	10	1.0	multi-copy
GF00000184	7	3	10	1.0	multi-copy
GF00000185	8	2	10	1.0	multi-copy
GF00000186	7	3	10	1.0	multi-copy
GF00000187	6	4	10	1.0	multi-copy
GF00000188	7	3	10	1.0	multi-copy
GF00000189	8	2	10	1.0	multi-copy
GF00000190	9	1	10	1.0	multi-copy
GF00000191	8	2	10	1.0	multi-copy
GF00000192	6	4	10	1.0	multi-copy
GF00000193	6	4	10	1.0	multi-copy
GF00000194	8	2	10	1.0	multi-copy
GF00000195	8	2	10	1.0	multi-copy
GF00000196	7	3	10	1.0	multi-copy
GF00000197	7	3	10	1.0	multi-copy
GF00000198	8	2	10	1.0	multi-copy
GF00000199	8	1	9	1.0	multi-copy
GF00000200	7	2	9	1.0	multi-copy
GF00000201	8	1	9	1.0	multi-copy
GF00000202	8	1	9	1.0	multi-copy
GF00000203	7	2	9	1.0	multi-copy
GF00000204	7	2	9	1.0	multi-copy
GF00000205	7	2	9	1.0	multi-copy
GF00000206	6	3	9	1.0	multi-copy
GF00000207	7	2	9	1.0	multi-copy
GF00000208	6	3	9	1.0	multi-copy
GF00000209	7	2	9	1.0	multi-copy
GF00000210	8	1	9	1.0	multi-copy
GF00000211	8	1	9	1.0	multi-copy
GF00000212	6	3	9	1.0	multi-copy
GF00000213	6	3	9	1.0	multi-copy
GF00000214	6	3	9	1.0	multi-copy
GF00000215	6	3	9	1.0	multi-copy
GF00000216	6	3	9	1.0	multi-copy
GF00000217	7	2	9	1.0	multi-copy
GF00000218	6	3	9	1.0	multi-copy
GF00000219	6	3	9	1.0	multi-copy
GF00000220	6	3	9	1.0	multi-copy
GF00000221	6	3	9	1.0	multi-copy
GF00000222	7	2	9	1.0	multi-copy
GF00000223	6	3	9	1.0	multi-copy
GF00000224	8	1	9	1.0	multi-copy
GF00000225	6	3	9	1.0	multi-copy
GF00000226	6	3	9	1.0	multi-copy
GF00000227	6	3	9	1.0	multi-copy
GF00000228	5	4	9	1.0	multi-copy
GF00000229	6	3	9	1.0	multi-copy
GF00000230	7	2	9	1.0	multi-copy
GF00000231	6	3	9	1.0	multi-copy
GF00000232	8	1	9	1.0	multi-copy
GF00000233	6	3	9	1.0	multi-copy
GF00000234	6	3	9	1.0	multi-copy
GF00000235	7	2	9	1.0	multi-copy
GF00000236	7	2	9	1.0	multi-copy
GF00000237	6	3	9	1.0	multi-copy
GF00000238	6	3	9	1.0	multi-copy
GF00000239	6	3	9	1.0	multi-copy
GF00000240	6	3	9	1.0	multi-copy
GF00000241	6	3	9	1.0	multi-copy
GF00000242	7	2	9	1.0	multi-copy
GF00000243	7	2	9	1.0	multi-copy
GF00000244	6	3	9	1.0	multi-copy
GF00000245	6	3	9	1.0	multi-copy
GF00000246	7	2	9	1.0	multi-copy
GF00000247	7	2	9	1.0	multi-copy
GF00000248	8	1	9	1.0	multi-copy
GF00000249	7	2	9	1.0	multi-copy
GF00000250	8	1	9	1.0	multi-copy
GF00000251	7	2	9	1.0	multi-copy
GF00000252	6	3	9	1.0	multi-copy
GF00000253	5	4	9	1.0	multi-copy
GF00000254	7	2	9	1.0	multi-copy
GF00000255	6	3	9	1.0	multi-copy
GF00000256	6	3	9	1.0	multi-copy
GF00000257	6	3	9	1.0	multi-copy
GF00000258	6	3	9	1.0	multi-copy
GF00000259	6	3	9	1.0	multi-copy
GF00000260	6	3	9	1.0	multi-copy
GF00000261	6	3	9	1.0	multi-copy
GF00000262	6	3	9	1.0	multi-copy
GF00000263	7	2	9	1.0	multi-copy
GF00000264	6	3	9	1.0	multi-copy
GF00000265	8	1	9	1.0	multi-copy
GF00000266	6	3	9	1.0	multi-copy
GF00000267	6	3	9	1.0	multi-copy
GF00000268	6	3	9	1.0	multi-copy
GF00000269	6	3	9	1.0	multi-copy
GF00000270	7	2	9	1.0	multi-copy
GF00000271	7	2	9	1.0	multi-copy
GF00000272	7	2	9	1.0	multi-copy
GF00000273	6	3	9	1.0	multi-copy
GF00000274	7	2	9	1.0	multi-copy
GF00000275	6	3	9	1.0	multi-copy
GF00000276	8	1	9	1.0	multi-copy
GF00000277	7	2	9	1.0	multi-copy
GF00000278	6	3	9	1.0	multi-copy
GF00000279	4	5	9	1.0	multi-copy
GF00000280	7	2	9	1.0	multi-copy
GF00000281	6	3	9	1.0	multi-copy
GF00000282	7	1	8	1.0	multi-copy
GF00000283	7	1	8	1.0	multi-copy
GF00000284	7	1	8	1.0	multi-copy
GF00000285	6	2	8	1.0	multi-copy
GF00000286	7	1	8	1.0	multi-copy
GF00000287	6	2	8	1.0	multi-copy
GF00000288	6	2	8	1.0	multi-copy
GF00000289	6	2	8	1.0	multi-copy
GF00000290	6	2	8	1.0	multi-copy
GF00000291	6	2	8	1.0	multi-copy
GF00000292	6	2	8	1.0	multi-copy
GF00000293	5	3	8	1.0	multi-copy
GF00000294	6	2	8	1.0	multi-copy
GF00000295	6	2	8	1.0	multi-copy
GF00000296	5	3	8	1.0	multi-copy
GF00000297	5	3	8	1.0	multi-copy
GF00000298	5	3	8	1.0	multi-copy
GF00000299	7	1	8	1.0	multi-copy
GF00000300	7	1	8	1.0	multi-copy
GF00000301	6	2	8	1.0	multi-copy
GF00000302	7	1	8	1.0	multi-copy
GF00000303	6	2	8	1.0	multi-copy
GF00000304	7	1	8	1.0	multi-copy
GF00000305	6	2	8	1.0	multi-copy
GF00000306	7	1	8	1.0	multi-copy
GF00000307	7	1	8	1.0	multi-copy
GF00000308	6	2	8	1.0	multi-copy
GF00000309	7	1	8	1.0	multi-copy
GF00000310	5	3	8	1.0	multi-copy
GF00000311	5	3	8	1.0	multi-copy
GF00000312	7	1	8	1.0	multi-copy
GF00000313	6	2	8	1.0	multi-copy
GF00000314	7	1	8	1.0	multi-copy
GF00000315	6	2	8	1.0	multi-copy
GF00000316	5	3	8	1.0	multi-copy
GF00000317	6	2	8	1.0	multi-copy
GF00000318	6	2	8	1.0	multi-copy
GF00000319	5	3	8	1.0	multi-copy
GF00000320	5	3	8	1.0	multi-copy
GF00000321	6	2	8	1.0	multi-copy
GF00000322	7	1	8	1.0	multi-copy
GF00000323	7	1	8	1.0	multi-copy
GF00000324	7	1	8	1.0	multi-copy
GF00000325	6	2	8	1.0	multi-copy
GF00000326	5	3	8	1.0	multi-copy
GF00000327	5	3	8	1.0	multi-copy
GF00000328	7	1	8	1.0	multi-copy
GF00000329	6	2	8	1.0	multi-copy
GF00000330	7	1	8	1.0	multi-copy
GF00000331	5	3	8	1.0	multi-copy
GF00000332	6	2	8	1.0	multi-copy
GF00000333	6	2	8	1.0	multi-copy
GF00000334	6	2	8	1.0	multi-copy
GF00000335	6	2	8	1.0	multi-copy
GF00000336	7	1	8	1.0	multi-copy
GF00000337	6	2	8	1.0	multi-copy
GF00000338	6	2	8	1.0	multi-copy
GF00000339	5	3	8	1.0	multi-copy
GF00000340	6	2	8	1.0	multi-copy
GF00000341	6	2	8	1.0	multi-copy
GF00000342	5	3	8	1.0	multi-copy
GF00000343	6	2	8	1.0	multi-copy
GF00000344	5	3	8	1.0	multi-copy
GF00000345	4	4	8	1.0	multi-copy
GF00000346	7	1	8	1.0	multi-copy
GF00000347	5	3	8	1.0	multi-copy
GF00000348	7	1	8	1.0	multi-copy
GF00000349	6	2	8	1.0	multi-copy
GF00000350	6	2	8	1.0	multi-copy
GF00000351	6	2	8	1.0	multi-copy
GF00000352	5	3	8	1.0	multi-copy
GF00000353	5	3	8	1.0	multi-copy
GF00000354	6	2	8	1.0	multi-copy
GF00000355	6	2	8	1.0	multi-copy
GF00000356	6	2	8	1.0	multi-copy
GF00000357	7	1	8	1.0	multi-copy
GF00000358	5	3	8	1.0	multi-copy
GF00000359	6	2	8	1.0	multi-copy
GF00000360	7	1	8	1.0	multi-copy
GF00000361	7	1	8	1.0	multi-copy
GF00000362	7	1	8	1.0	multi-copy
GF00000363	7	1	8	1.0	multi-copy
GF00000364	6	2	8	1.0	multi-copy
GF00000365	7	1	8	1.0	multi-copy
GF00000366	7	1	8	1.0	multi-copy
GF00000367	7	1	8	1.0	multi-copy
GF00000368	6	2	8	1.0	multi-copy
GF00000369	4	4	8	1.0	multi-copy
GF00000370	7	1	8	1.0	multi-copy
GF00000371	7	1	8	1.0	multi-copy
GF00000372	7	1	8	1.0	multi-copy
GF00000373	5	2	7	1.0	multi-copy
GF00000374	5	2	7	1.0	multi-copy
GF00000375	5	2	7	1.0	multi-copy
GF00000376	5	2	7	1.0	multi-copy
GF00000377	6	1	7	1.0	multi-copy
GF00000378	5	2	7	1.0	multi-copy
GF00000379	5	2	7	1.0	multi-copy
GF00000380	6	1	7	1.0	multi-copy
GF00000381	6	1	7	1.0	multi-copy
GF00000382	6	1	7	1.0	multi-copy
GF00000383	6	1	7	1.0	multi-copy
GF00000384	6	1	7	1.0	multi-copy
GF00000385	6	1	7	1.0	multi-copy
GF00000386	5	2	7	1.0	multi-copy
GF00000387	4	3	7	1.0	multi-copy
GF00000388	5	2	7	1.0	multi-copy
GF00000389	5	2	7	1.0	multi-copy
GF00000390	6	1	7	1.0	multi-copy
GF00000391	5	2	7	1.0	multi-copy
GF00000392	5	2	7	1.0	multi-copy
GF00000393	5	2	7	1.0	multi-copy
GF00000394	6	1	7	1.0	multi-copy
GF00000395	6	1	7	1.0	multi-copy
GF00000396	6	1	7	1.0	multi-copy
GF00000397	5	2	7	1.0	multi-copy
GF00000398	6	1	7	1.0	multi-copy
GF00000399	5	2	7	1.0	multi-copy
GF00000400	5	2	7	1.0	multi-copy
GF00000401	4	3	7	1.0	multi-copy
GF00000402	5	2	7	1.0	multi-copy
GF00000403	6	1	7	1.0	multi-copy
GF00000404	5	2	7	1.0	multi-copy
GF00000405	5	2	7	1.0	multi-copy
GF00000406	4	3	7	1.0	multi-copy
GF00000407	5	2	7	1.0	multi-copy
GF00000408	6	1	7	1.0	multi-copy
GF00000409	6	1	7	1.0	multi-copy
GF00000410	6	1	7	1.0	multi-copy
GF00000411	6	1	7	1.0	multi-copy
GF00000412	5	2	7	1.0	multi-copy
GF00000413	5	2	7	1.0	multi-copy
GF00000414	5	2	7	1.0	multi-copy
GF00000415	5	2	7	1.0	multi-copy
GF00000416	5	2	7	1.0	multi-copy
GF00000417	6	1	7	1.0	multi-copy
GF00000418	6	1	7	1.0	multi-copy
GF00000419	6	1	7	1.0	multi-copy
GF00000420	5	2	7	1.0	multi-copy
GF00000421	5	2	7	1.0	multi-copy
GF00000422	6	1	7	1.0	multi-copy
GF00000423	5	2	7	1.0	multi-copy
GF00000424	5	2	7	1.0	multi-copy
GF00000425	5	2	7	1.0	multi-copy
GF00000426	5	2	7	1.0	multi-copy
GF00000427	5	2	7	1.0	multi-copy
GF00000428	5	2	7	1.0	multi-copy
GF00000429	6	1	7	1.0	multi-copy
GF00000430	6	1	7	1.0	multi-copy
GF00000431	6	1	7	1.0	multi-copy
GF00000432	5	2	7	1.0	multi-copy
GF00000433	4	3	7	1.0	multi-copy
GF00000434	5	2	7	1.0	multi-copy
GF00000435	4	3	7	1.0	multi-copy
GF00000436	4	3	7	1.0	multi-copy
GF00000437	4	3	7	1.0	multi-copy
GF00000438	5	2	7	1.0	multi-copy
GF00000439	5	2	7	1.0	multi-copy
GF00000440	5	2	7	1.0	multi-copy
GF00000441	5	2	7	1.0	multi-copy
GF00000442	3	4	7	1.0	multi-copy
GF00000443	5	2	7	1.0	multi-copy
GF00000444	5	2	7	1.0	multi-copy
GF00000445	4	3	7	1.0	multi-copy
GF00000446	6	1	7	1.0	multi-copy
GF00000447	6	1	7	1.0	multi-copy
GF00000448	5	2	7	1.0	multi-copy
GF00000449	5	2	7	1.0	multi-copy
GF00000450	6	1	7	1.0	multi-copy
GF00000451	5	2	7	1.0	multi-copy
GF00000452	6	1	7	1.0	multi-copy
GF00000453	6	1	7	1.0	multi-copy
GF00000454	6	1	7	1.0	multi-copy
GF00000455	6	1	7	1.0	multi-copy
GF00000456	5	2	7	1.0	multi-copy
GF00000457	5	2	7	1.0	multi-copy
GF00000458	6	1	7	1.0	multi-copy
GF00000459	6	1	7	1.0	multi-copy
GF00000460	6	1	7	1.0	multi-copy
GF00000461	6	1	7	1.0	multi-copy
GF00000462	6	1	7	1.0	multi-copy
GF00000463	5	2	7	1.0	multi-copy
GF00000464	5	2	7	1.0	multi-copy
GF00000465	5	2	7	1.0	multi-copy
GF00000466	5	2	7	1.0	multi-copy
GF00000467	6	1	7	1.0	multi-copy
GF00000468	6	1	7	1.0	multi-copy
GF00000469	5	2	7	1.0	multi-copy
GF00000470	6	1	7	1.0	multi-copy
GF00000471	5	2	7	1.0	multi-copy
GF00000472	5	2	7	1.0	multi-copy
GF00000473	5	2	7	1.0	multi-copy
GF00000474	4	3	7	1.0	multi-copy
GF00000475	5	2	7	1.0	multi-copy
GF00000476	4	3	7	1.0	multi-copy
GF00000477	5	2	7	1.0	multi-copy
GF00000478	6	1	7	1.0	multi-copy
GF00000479	5	2	7	1.0	multi-copy
GF00000480	6	1	7	1.0	multi-copy
GF00000481	6	1	7	1.0	multi-copy
GF00000482	5	2	7	1.0	multi-copy
GF00000483	6	1	7	1.0	multi-copy
GF00000484	5	2	7	1.0	multi-copy
GF00000485	5	2	7	1.0	multi-copy
GF00000486	5	2	7	1.0	multi-copy
GF00000487	5	2	7	1.0	multi-copy
GF00000488	5	2	7	1.0	multi-copy
GF00000489	6	1	7	1.0	multi-copy
GF00000490	6	1	7	1.0	multi-copy
GF00000491	4	3	7	1.0	multi-copy
GF00000492	5	2	7	1.0	multi-copy
GF00000493	5	2	7	1.0	multi-copy
GF00000494	6	1	7	1.0	multi-copy
GF00000495	5	2	7	1.0	multi-copy
GF00000496	5	2	7	1.0	multi-copy
GF00000497	5	2	7	1.0	multi-copy
GF00000498	5	2	7	1.0	multi-copy
GF00000499	5	2	7	1.0	multi-copy
GF00000500	6	1	7	1.0	multi-copy
GF00000501	5	2	7	1.0	multi-copy
GF00000502	4	3	7	1.0	multi-copy
GF00000503	4	3	7	1.0	multi-copy
GF00000504	5	2	7	1.0	multi-copy
GF00000505	6	1	7	1.0	multi-copy
GF00000506	6	1	7	1.0	multi-copy
GF00000507	5	2	7	1.0	multi-copy
GF00000508	6	1	7	1.0	multi-copy
GF00000509	5	2	7	1.0	multi-copy
GF00000510	6	1	7	1.0	multi-copy
GF00000511	6	1	7	1.0	multi-copy
GF00000512	5	2	7	1.0	multi-copy
GF00000513	4	3	7	1.0	multi-copy
GF00000514	4	3	7	1.0	multi-copy
GF00000515	5	2	7	1.0	multi-copy
GF00000516	5	2	7	1.0	multi-copy
GF00000517	6	1	7	1.0	multi-copy
GF00000518	5	2	7	1.0	multi-copy
GF00000519	6	1	7	1.0	multi-copy
GF00000520	5	2	7	1.0	multi-copy
GF00000521	5	2	7	1.0	multi-copy
GF00000522	6	1	7	1.0	multi-copy
GF00000523	6	1	7	1.0	multi-copy
GF00000524	5	2	7	1.0	multi-copy
GF00000525	4	3	7	1.0	multi-copy
GF00000526	6	1	7	1.0	multi-copy
GF00000527	5	2	7	1.0	multi-copy
GF00000528	6	1	7	1.0	multi-copy
GF00000529	5	2	7	1.0	multi-copy
GF00000530	6	1	7	1.0	multi-copy
GF00000531	6	1	7	1.0	multi-copy
GF00000532	3	4	7	1.0	multi-copy
GF00000533	6	1	7	1.0	multi-copy
GF00000534	5	2	7	1.0	multi-copy
GF00000535	5	2	7	1.0	multi-copy
GF00000536	5	1	6	1.0	multi-copy
GF00000537	5	1	6	1.0	multi-copy
GF00000538	4	2	6	1.0	multi-copy
GF00000539	5	1	6	1.0	multi-copy
GF00000540	5	1	6	1.0	multi-copy
GF00000541	5	1	6	1.0	multi-copy
GF00000542	5	1	6	1.0	multi-copy
GF00000543	5	1	6	1.0	multi-copy
GF00000544	5	1	6	1.0	multi-copy
GF00000545	5	1	6	1.0	multi-copy
GF00000546	4	2	6	1.0	multi-copy
GF00000547	4	2	6	1.0	multi-copy
GF00000548	4	2	6	1.0	multi-copy
GF00000549	4	2	6	1.0	multi-copy
GF00000550	5	1	6	1.0	multi-copy
GF00000551	4	2	6	1.0	multi-copy
GF00000552	4	2	6	1.0	multi-copy
GF00000553	5	1	6	1.0	multi-copy
GF00000554	5	1	6	1.0	multi-copy
GF00000555	4	2	6	1.0	multi-copy
GF00000556	5	1	6	1.0	multi-copy
GF00000557	4	2	6	1.0	multi-copy
GF00000558	4	2	6	1.0	multi-copy
GF00000559	4	2	6	1.0	multi-copy
GF00000560	4	2	6	1.0	multi-copy
GF00000561	5	1	6	1.0	multi-copy
GF00000562	5	1	6	1.0	multi-copy
GF00000563	4	2	6	1.0	multi-copy
GF00000564	4	2	6	1.0	multi-copy
GF00000565	5	1	6	1.0	multi-copy
GF00000566	5	1	6	1.0	multi-copy
GF00000567	5	1	6	1.0	multi-copy
GF00000568	5	1	6	1.0	multi-copy
GF00000569	4	2	6	1.0	multi-copy
GF00000570	5	1	6	1.0	multi-copy
GF00000571	5	1	6	1.0	multi-copy
GF00000572	4	2	6	1.0	multi-copy
GF00000573	4	2	6	1.0	multi-copy
GF00000574	4	2	6	1.0	multi-copy
GF00000575	4	2	6	1.0	multi-copy
GF00000576	4	2	6	1.0	multi-copy
GF00000577	4	2	6	1.0	multi-copy
GF00000578	4	2	6	1.0	multi-copy
GF00000579	4	2	6	1.0	multi-copy
GF00000580	4	2	6	1.0	multi-copy
GF00000581	4	2	6	1.0	multi-copy
GF00000582	4	2	6	1.0	multi-copy
GF00000583	4	2	6	1.0	multi-copy
GF00000584	4	2	6	1.0	multi-copy
GF00000585	5	1	6	1.0	multi-copy
GF00000586	4	2	6	1.0	multi-copy
GF00000587	4	2	6	1.0	multi-copy
GF00000588	4	2	6	1.0	multi-copy
GF00000589	4	2	6	1.0	multi-copy
GF00000590	4	2	6	1.0	multi-copy
GF00000591	4	2	6	1.0	multi-copy
GF00000592	4	2	6	1.0	multi-copy
GF00000593	4	2	6	1.0	multi-copy
GF00000594	4	2	6	1.0	multi-copy
GF00000595	4	2	6	1.0	multi-copy
GF00000596	4	2	6	1.0	multi-copy
GF00000597	4	2	6	1.0	multi-copy
GF00000598	4	2	6	1.0	multi-copy
GF00000599	4	2	6	1.0	multi-copy
GF00000600	4	2	6	1.0	multi-copy
GF00000601	4	2	6	1.0	multi-copy
GF00000602	4	2	6	1.0	multi-copy
GF00000603	4	2	6	1.0	multi-copy
GF00000604	4	2	6	1.0	multi-copy
GF00000605	4	2	6	1.0	multi-copy
GF00000606	5	1	6	1.0	multi-copy
GF00000607	4	2	6	1.0	multi-copy
GF00000608	4	2	6	1.0	multi-copy
GF00000609	5	1	6	1.0	multi-copy
GF00000610	4	2	6	1.0	multi-copy
GF00000611	4	2	6	1.0	multi-copy
GF00000612	4	2	6	1.0	multi-copy
GF00000613	4	2	6	1.0	multi-copy
GF00000614	4	2	6	1.0	multi-copy
GF00000615	5	1	6	1.0	multi-copy
GF00000616	5	1	6	1.0	multi-copy
GF00000617	5	1	6	1.0	multi-copy
GF00000618	5	1	6	1.0	multi-copy
GF00000619	5	1	6	1.0	multi-copy
GF00000620	4	2	6	1.0	multi-copy
GF00000621	5	1	6	1.0	multi-copy
GF00000622	4	2	6	1.0	multi-copy
GF00000623	5	1	6	1.0	multi-copy
GF00000624	4	2	6	1.0	multi-copy
GF00000625	5	1	6	1.0	multi-copy
GF00000626	5	1	6	1.0	multi-copy
GF00000627	4	2	6	1.0	multi-copy
GF00000628	4	2	6	1.0	multi-copy
