SampleID	TOTAL_LENGTH	T2T_SCAFFOLDS
TFCN_17-337P-5.AAFTF	39583193	NA
DBVPG_3855.AAFTF	39597867	NA
TFCN_17-0-2E337-3.AAFTF	39697723	1
TFCN_17-334D-6.AAFTF	39744428	NA
DBVPG_3856.AAFTF	39916276	NA
TFCN_17-333P-6.AAFTF	39933493	NA
DBVPG_3857.AAFTF	39933818	NA
CHIFNET_14NJ214.AAFTF	40074826	NA
CHIFNET_13H1268.AAFTF	40260968	NA
CHIFNET_18NJ590.AAFTF	41975929	NA
CHIFNET_10NJ071.AAFTF	42661397	1
