	Rhodotorula_mucilaginosa_TFCN_17-334Y-5.cds.fa
GF00001061	TFCN17334Y5_008059-T1, TFCN17334Y5_012472-T1
GF00001062	TFCN17334Y5_013412-T1, TFCN17334Y5_006844-T1
GF00001063	TFCN17334Y5_006068-T1, TFCN17334Y5_012643-T1
GF00001064	TFCN17334Y5_008621-T1, TFCN17334Y5_008464-T1
GF00001065	TFCN17334Y5_011144-T1, TFCN17334Y5_009949-T1
GF00001066	TFCN17334Y5_007783-T1, TFCN17334Y5_007675-T1
GF00001067	TFCN17334Y5_005467-T1, TFCN17334Y5_006786-T1
GF00001068	TFCN17334Y5_004030-T1, TFCN17334Y5_008011-T1
GF00001069	TFCN17334Y5_006736-T1, TFCN17334Y5_013704-T1
GF00001070	TFCN17334Y5_002754-T1, TFCN17334Y5_003253-T1
GF00001071	TFCN17334Y5_005236-T1, TFCN17334Y5_005012-T1
GF00001072	TFCN17334Y5_001201-T1, TFCN17334Y5_001879-T1
GF00001073	TFCN17334Y5_013310-T1, TFCN17334Y5_014034-T1
GF00001074	TFCN17334Y5_004464-T1, TFCN17334Y5_000091-T1
GF00001075	TFCN17334Y5_005515-T1, TFCN17334Y5_007948-T1
GF00001076	TFCN17334Y5_006399-T1, TFCN17334Y5_005948-T1
GF00001077	TFCN17334Y5_007658-T1, TFCN17334Y5_007802-T1
GF00001078	TFCN17334Y5_002424-T1, TFCN17334Y5_011289-T1
GF00001079	TFCN17334Y5_004321-T1, TFCN17334Y5_012968-T1
GF00001080	TFCN17334Y5_011577-T1, TFCN17334Y5_003057-T1
GF00001081	TFCN17334Y5_002086-T1, TFCN17334Y5_001935-T1
GF00001082	TFCN17334Y5_011285-T1, TFCN17334Y5_002420-T1
GF00001083	TFCN17334Y5_012042-T1, TFCN17334Y5_007132-T1
GF00001084	TFCN17334Y5_003009-T1, TFCN17334Y5_014169-T1
GF00001085	TFCN17334Y5_009124-T1, TFCN17334Y5_009829-T1
GF00001086	TFCN17334Y5_013923-T1, TFCN17334Y5_012534-T1
GF00001087	TFCN17334Y5_014511-T1, TFCN17334Y5_008034-T1
GF00001088	TFCN17334Y5_009729-T1, TFCN17334Y5_002247-T1
GF00001089	TFCN17334Y5_008803-T1, TFCN17334Y5_005140-T1
GF00001090	TFCN17334Y5_001615-T1, TFCN17334Y5_006160-T1
GF00001091	TFCN17334Y5_009167-T1, TFCN17334Y5_010482-T1
GF00001092	TFCN17334Y5_012795-T1, TFCN17334Y5_006457-T1
GF00001093	TFCN17334Y5_014487-T1, TFCN17334Y5_014510-T1
GF00001094	TFCN17334Y5_001620-T1, TFCN17334Y5_006192-T1
GF00001095	TFCN17334Y5_009438-T1, TFCN17334Y5_011070-T1
GF00001096	TFCN17334Y5_010323-T1, TFCN17334Y5_003673-T1
GF00001097	TFCN17334Y5_009950-T1, TFCN17334Y5_011145-T1
GF00001098	TFCN17334Y5_009046-T1, TFCN17334Y5_000472-T1
GF00001099	TFCN17334Y5_007455-T1, TFCN17334Y5_000246-T1
GF00001100	TFCN17334Y5_000849-T1, TFCN17334Y5_010768-T1
GF00001101	TFCN17334Y5_010586-T1, TFCN17334Y5_003923-T1
GF00001102	TFCN17334Y5_005124-T1, TFCN17334Y5_010205-T1
GF00001103	TFCN17334Y5_013855-T1, TFCN17334Y5_004232-T1
GF00001104	TFCN17334Y5_005547-T1, TFCN17334Y5_010942-T1
GF00001105	TFCN17334Y5_005152-T1, TFCN17334Y5_008815-T1
GF00001106	TFCN17334Y5_009782-T1, TFCN17334Y5_002993-T1
GF00001107	TFCN17334Y5_008875-T1, TFCN17334Y5_006116-T1
GF00001108	TFCN17334Y5_012857-T1, TFCN17334Y5_013103-T1
GF00001109	TFCN17334Y5_009561-T1, TFCN17334Y5_006729-T1
GF00001110	TFCN17334Y5_002411-T1, TFCN17334Y5_011275-T1
GF00001111	TFCN17334Y5_012741-T1, TFCN17334Y5_009674-T1
GF00001112	TFCN17334Y5_007488-T1, TFCN17334Y5_000791-T1
GF00001113	TFCN17334Y5_011052-T1, TFCN17334Y5_002467-T1
GF00001114	TFCN17334Y5_013025-T1, TFCN17334Y5_002234-T1
GF00001115	TFCN17334Y5_005349-T1, TFCN17334Y5_007904-T1
GF00001116	TFCN17334Y5_000532-T1, TFCN17334Y5_010858-T1
GF00001117	TFCN17334Y5_010388-T1, TFCN17334Y5_010017-T1
GF00001118	TFCN17334Y5_011911-T1, TFCN17334Y5_011466-T1
GF00001119	TFCN17334Y5_007131-T1, TFCN17334Y5_012041-T1
GF00001120	TFCN17334Y5_013953-T1, TFCN17334Y5_014395-T1
GF00001121	TFCN17334Y5_001774-T1, TFCN17334Y5_001104-T1
GF00001122	TFCN17334Y5_007383-T1, TFCN17334Y5_000173-T1
GF00001123	TFCN17334Y5_001801-T1, TFCN17334Y5_001128-T1
GF00001124	TFCN17334Y5_000204-T1, TFCN17334Y5_007410-T1
GF00001125	TFCN17334Y5_013104-T1, TFCN17334Y5_012856-T1
GF00001126	TFCN17334Y5_003058-T1, TFCN17334Y5_011576-T1
GF00001127	TFCN17334Y5_006835-T1, TFCN17334Y5_013422-T1
GF00001128	TFCN17334Y5_001096-T1, TFCN17334Y5_001767-T1
GF00001129	TFCN17334Y5_003032-T1, TFCN17334Y5_012381-T1
GF00001130	TFCN17334Y5_005285-T1, TFCN17334Y5_007843-T1
GF00001131	TFCN17334Y5_007293-T1, TFCN17334Y5_001517-T1
GF00001132	TFCN17334Y5_005802-T1, TFCN17334Y5_004819-T1
GF00001133	TFCN17334Y5_004544-T1, TFCN17334Y5_009390-T1
GF00001134	TFCN17334Y5_012367-T1, TFCN17334Y5_003016-T1
GF00001135	TFCN17334Y5_002534-T1, TFCN17334Y5_008259-T1
GF00001136	TFCN17334Y5_005804-T1, TFCN17334Y5_004821-T1
GF00001137	TFCN17334Y5_011053-T1, TFCN17334Y5_002466-T1
GF00001138	TFCN17334Y5_012797-T1, TFCN17334Y5_006460-T1
GF00001139	TFCN17334Y5_001938-T1, TFCN17334Y5_002089-T1
GF00001140	TFCN17334Y5_008256-T1, TFCN17334Y5_002531-T1
GF00001141	TFCN17334Y5_006128-T1, TFCN17334Y5_008862-T1
GF00001142	TFCN17334Y5_003564-T1, TFCN17334Y5_006323-T1
GF00001143	TFCN17334Y5_008983-T1, TFCN17334Y5_000377-T1
GF00001144	TFCN17334Y5_009004-T1, TFCN17334Y5_000433-T1
GF00001145	TFCN17334Y5_001183-T1, TFCN17334Y5_001858-T1
GF00001146	TFCN17334Y5_005055-T1, TFCN17334Y5_005275-T1
GF00001147	TFCN17334Y5_001736-T1, TFCN17334Y5_001066-T1
GF00001148	TFCN17334Y5_013862-T1, TFCN17334Y5_011968-T1
GF00001149	TFCN17334Y5_009761-T1, TFCN17334Y5_002973-T1
GF00001150	TFCN17334Y5_004073-T1, TFCN17334Y5_007939-T1
GF00001151	TFCN17334Y5_012300-T1, TFCN17334Y5_009652-T1
GF00001152	TFCN17334Y5_002102-T1, TFCN17334Y5_001950-T1
GF00001153	TFCN17334Y5_013409-T1, TFCN17334Y5_000889-T1
GF00001154	TFCN17334Y5_007427-T1, TFCN17334Y5_000220-T1
GF00001155	TFCN17334Y5_006308-T1, TFCN17334Y5_005426-T1
GF00001156	TFCN17334Y5_000970-T1, TFCN17334Y5_011381-T1
GF00001157	TFCN17334Y5_002009-T1, TFCN17334Y5_002162-T1
GF00001158	TFCN17334Y5_000417-T1, TFCN17334Y5_008938-T1
GF00001159	TFCN17334Y5_000185-T1, TFCN17334Y5_007395-T1
GF00001160	TFCN17334Y5_013555-T1, TFCN17334Y5_009094-T1
GF00001161	TFCN17334Y5_007188-T1, TFCN17334Y5_009276-T1
GF00001162	TFCN17334Y5_013714-T1, TFCN17334Y5_012897-T1
GF00001163	TFCN17334Y5_011203-T1, TFCN17334Y5_011348-T1
GF00001164	TFCN17334Y5_001957-T1, TFCN17334Y5_002109-T1
GF00001165	TFCN17334Y5_005803-T1, TFCN17334Y5_004820-T1
GF00001166	TFCN17334Y5_008225-T1, TFCN17334Y5_012826-T1
GF00001167	TFCN17334Y5_005242-T1, TFCN17334Y5_005019-T1
GF00001168	TFCN17334Y5_005484-T1, TFCN17334Y5_006804-T1
GF00001169	TFCN17334Y5_000053-T1, TFCN17334Y5_010907-T1
GF00001170	TFCN17334Y5_008248-T1, TFCN17334Y5_002520-T1
GF00001171	TFCN17334Y5_013983-T1, TFCN17334Y5_009190-T1
GF00001172	TFCN17334Y5_013909-T1, TFCN17334Y5_005957-T1
GF00001173	TFCN17334Y5_012955-T1, TFCN17334Y5_004723-T1
GF00001174	TFCN17334Y5_009798-T1, TFCN17334Y5_009158-T1
GF00001175	TFCN17334Y5_005096-T1, TFCN17334Y5_008840-T1
GF00001176	TFCN17334Y5_013399-T1, TFCN17334Y5_000879-T1
GF00001177	TFCN17334Y5_006954-T1, TFCN17334Y5_008684-T1
GF00001178	TFCN17334Y5_005070-T1, TFCN17334Y5_012312-T1
GF00001179	TFCN17334Y5_012025-T1, TFCN17334Y5_001533-T1
GF00001180	TFCN17334Y5_003651-T1, TFCN17334Y5_013483-T1
GF00001181	TFCN17334Y5_008088-T1, TFCN17334Y5_002920-T1
GF00001182	TFCN17334Y5_008291-T1, TFCN17334Y5_000916-T1
GF00001183	TFCN17334Y5_004261-T1, TFCN17334Y5_013754-T1
GF00001184	TFCN17334Y5_013363-T1, TFCN17334Y5_010652-T1
GF00001185	TFCN17334Y5_005107-T1, TFCN17334Y5_010190-T1
GF00001186	TFCN17334Y5_014201-T1, TFCN17334Y5_014088-T1
GF00001187	TFCN17334Y5_011125-T1, TFCN17334Y5_005312-T1
GF00001188	TFCN17334Y5_004279-T1, TFCN17334Y5_012221-T1
GF00001189	TFCN17334Y5_001846-T1, TFCN17334Y5_001172-T1
GF00001190	TFCN17334Y5_001184-T1, TFCN17334Y5_001859-T1
GF00001191	TFCN17334Y5_014365-T1, TFCN17334Y5_013297-T1
GF00001192	TFCN17334Y5_011339-T1, TFCN17334Y5_011213-T1
GF00001193	TFCN17334Y5_004239-T1, TFCN17334Y5_014192-T1
GF00001194	TFCN17334Y5_013255-T1, TFCN17334Y5_009459-T1
GF00001195	TFCN17334Y5_008550-T1, TFCN17334Y5_004650-T1
GF00001196	TFCN17334Y5_009248-T1, TFCN17334Y5_004504-T1
GF00001197	TFCN17334Y5_008754-T1, TFCN17334Y5_006640-T1
GF00001198	TFCN17334Y5_010732-T1, TFCN17334Y5_005702-T1
GF00001199	TFCN17334Y5_012710-T1, TFCN17334Y5_011513-T1
GF00001200	TFCN17334Y5_001015-T1, TFCN17334Y5_001685-T1
GF00001201	TFCN17334Y5_014362-T1, TFCN17334Y5_013295-T1
GF00001202	TFCN17334Y5_002390-T1, TFCN17334Y5_014073-T1
GF00001203	TFCN17334Y5_004878-T1, TFCN17334Y5_003217-T1
GF00001204	TFCN17334Y5_003452-T1, TFCN17334Y5_001332-T1
GF00001205	TFCN17334Y5_005490-T1, TFCN17334Y5_006810-T1
GF00001206	TFCN17334Y5_010001-T1, TFCN17334Y5_010373-T1
GF00001207	TFCN17334Y5_004536-T1, TFCN17334Y5_009398-T1
GF00001208	TFCN17334Y5_007789-T1, TFCN17334Y5_007670-T1
GF00001209	TFCN17334Y5_004557-T1, TFCN17334Y5_009377-T1
GF00001210	TFCN17334Y5_006217-T1, TFCN17334Y5_001645-T1
GF00001211	TFCN17334Y5_009646-T1, TFCN17334Y5_012294-T1
GF00001212	TFCN17334Y5_012977-T1, TFCN17334Y5_004312-T1
GF00001213	TFCN17334Y5_003197-T1, TFCN17334Y5_004897-T1
GF00001214	TFCN17334Y5_007451-T1, TFCN17334Y5_000242-T1
GF00001215	TFCN17334Y5_004884-T1, TFCN17334Y5_003210-T1
GF00001216	TFCN17334Y5_003320-T1, TFCN17334Y5_002824-T1
GF00001217	TFCN17334Y5_001648-T1, TFCN17334Y5_006220-T1
GF00001218	TFCN17334Y5_013226-T1, TFCN17334Y5_010177-T1
GF00001219	TFCN17334Y5_009487-T1, TFCN17334Y5_009556-T1
GF00001220	TFCN17334Y5_003677-T1, TFCN17334Y5_010327-T1
GF00001221	TFCN17334Y5_013148-T1, TFCN17334Y5_012212-T1
GF00001222	TFCN17334Y5_007428-T1, TFCN17334Y5_000221-T1
GF00001223	TFCN17334Y5_000575-T1, TFCN17334Y5_013832-T1
GF00001224	TFCN17334Y5_002781-T1, TFCN17334Y5_003279-T1
GF00001225	TFCN17334Y5_009378-T1, TFCN17334Y5_004556-T1
GF00001226	TFCN17334Y5_002192-T1, TFCN17334Y5_002040-T1
GF00001227	TFCN17334Y5_011946-T1, TFCN17334Y5_008150-T1
GF00001228	TFCN17334Y5_003035-T1, TFCN17334Y5_011599-T1
GF00001229	TFCN17334Y5_008556-T1, TFCN17334Y5_004644-T1
GF00001230	TFCN17334Y5_006168-T1, TFCN17334Y5_001605-T1
GF00001231	TFCN17334Y5_008415-T1, TFCN17334Y5_012997-T1
GF00001232	TFCN17334Y5_008153-T1, TFCN17334Y5_011949-T1
GF00001233	TFCN17334Y5_005057-T1, TFCN17334Y5_005277-T1
GF00001234	TFCN17334Y5_004138-T1, TFCN17334Y5_009603-T1
GF00001235	TFCN17334Y5_006944-T1, TFCN17334Y5_008672-T1
GF00001236	TFCN17334Y5_008215-T1, TFCN17334Y5_004448-T1
GF00001237	TFCN17334Y5_008636-T1, TFCN17334Y5_007115-T1
GF00001238	TFCN17334Y5_011026-T1, TFCN17334Y5_002493-T1
GF00001239	TFCN17334Y5_011916-T1, TFCN17334Y5_009518-T1
GF00001240	TFCN17334Y5_009300-T1, TFCN17334Y5_002743-T1
GF00001241	TFCN17334Y5_002487-T1, TFCN17334Y5_011044-T1
GF00001242	TFCN17334Y5_004976-T1, TFCN17334Y5_005204-T1
GF00001243	TFCN17334Y5_011938-T1, TFCN17334Y5_008141-T1
GF00001244	TFCN17334Y5_013945-T1, TFCN17334Y5_008125-T1
GF00001245	TFCN17334Y5_005886-T1, TFCN17334Y5_002627-T1
GF00001246	TFCN17334Y5_007320-T1, TFCN17334Y5_007715-T1
GF00001247	TFCN17334Y5_002462-T1, TFCN17334Y5_011057-T1
GF00001248	TFCN17334Y5_005443-T1, TFCN17334Y5_013510-T1
GF00001249	TFCN17334Y5_005518-T1, TFCN17334Y5_007951-T1
GF00001250	TFCN17334Y5_011089-T1, TFCN17334Y5_009421-T1
GF00001251	TFCN17334Y5_013271-T1, TFCN17334Y5_014013-T1
GF00001252	TFCN17334Y5_000647-T1, TFCN17334Y5_000267-T1
GF00001253	TFCN17334Y5_006018-T1, TFCN17334Y5_014006-T1
GF00001254	TFCN17334Y5_012447-T1, TFCN17334Y5_012922-T1
GF00001255	TFCN17334Y5_001316-T1, TFCN17334Y5_003466-T1
GF00001256	TFCN17334Y5_008659-T1, TFCN17334Y5_006931-T1
GF00001257	TFCN17334Y5_007278-T1, TFCN17334Y5_001501-T1
GF00001258	TFCN17334Y5_012713-T1, TFCN17334Y5_011516-T1
GF00001259	TFCN17334Y5_012262-T1, TFCN17334Y5_009920-T1
GF00001260	TFCN17334Y5_007680-T1, TFCN17334Y5_007778-T1
GF00001261	TFCN17334Y5_007063-T1, TFCN17334Y5_008424-T1
GF00001262	TFCN17334Y5_004608-T1, TFCN17334Y5_013314-T1
GF00001263	TFCN17334Y5_007651-T1, TFCN17334Y5_007810-T1
GF00001264	TFCN17334Y5_006010-T1, TFCN17334Y5_011226-T1
GF00001265	TFCN17334Y5_001574-T1, TFCN17334Y5_006144-T1
GF00001266	TFCN17334Y5_003639-T1, TFCN17334Y5_011799-T1
GF00001267	TFCN17334Y5_013201-T1, TFCN17334Y5_002946-T1
GF00001268	TFCN17334Y5_013980-T1, TFCN17334Y5_009187-T1
GF00001269	TFCN17334Y5_004578-T1, TFCN17334Y5_012759-T1
GF00001270	TFCN17334Y5_008786-T1, TFCN17334Y5_006672-T1
GF00001271	TFCN17334Y5_003323-T1, TFCN17334Y5_002827-T1
GF00001272	TFCN17334Y5_004098-T1, TFCN17334Y5_007913-T1
GF00001273	TFCN17334Y5_009403-T1, TFCN17334Y5_004531-T1
GF00001274	TFCN17334Y5_002305-T1, TFCN17334Y5_000675-T1
GF00001275	TFCN17334Y5_008687-T1, TFCN17334Y5_006957-T1
GF00001276	TFCN17334Y5_001002-T1, TFCN17334Y5_001671-T1
GF00001277	TFCN17334Y5_002392-T1, TFCN17334Y5_013683-T1
GF00001278	TFCN17334Y5_013341-T1, TFCN17334Y5_014264-T1
GF00001279	TFCN17334Y5_003176-T1, TFCN17334Y5_004919-T1
GF00001280	TFCN17334Y5_006467-T1, TFCN17334Y5_012804-T1
GF00001281	TFCN17334Y5_003154-T1, TFCN17334Y5_004939-T1
GF00001282	TFCN17334Y5_001532-T1, TFCN17334Y5_012026-T1
GF00001283	TFCN17334Y5_005897-T1, TFCN17334Y5_002618-T1
GF00001284	TFCN17334Y5_007260-T1, TFCN17334Y5_001485-T1
GF00001285	TFCN17334Y5_012625-T1, TFCN17334Y5_006052-T1
GF00001286	TFCN17334Y5_014325-T1, TFCN17334Y5_013990-T1
GF00001287	TFCN17334Y5_002082-T1, TFCN17334Y5_001930-T1
GF00001288	TFCN17334Y5_000824-T1, TFCN17334Y5_010744-T1
GF00001289	TFCN17334Y5_010101-T1, TFCN17334Y5_010514-T1
GF00001290	TFCN17334Y5_007201-T1, TFCN17334Y5_000120-T1
GF00001291	TFCN17334Y5_008024-T1, TFCN17334Y5_004042-T1
GF00001292	TFCN17334Y5_009259-T1, TFCN17334Y5_004494-T1
GF00001293	TFCN17334Y5_004676-T1, TFCN17334Y5_008523-T1
GF00001294	TFCN17334Y5_008009-T1, TFCN17334Y5_004028-T1
GF00001295	TFCN17334Y5_006254-T1, TFCN17334Y5_009871-T1
GF00001296	TFCN17334Y5_002898-T1, TFCN17334Y5_013600-T1
GF00001297	TFCN17334Y5_008063-T1, TFCN17334Y5_012477-T1
GF00001298	TFCN17334Y5_005451-T1, TFCN17334Y5_013503-T1
GF00001299	TFCN17334Y5_008655-T1, TFCN17334Y5_006927-T1
GF00001300	TFCN17334Y5_005880-T1, TFCN17334Y5_002634-T1
GF00001301	TFCN17334Y5_008757-T1, TFCN17334Y5_006643-T1
GF00001302	TFCN17334Y5_001006-T1, TFCN17334Y5_001675-T1
GF00001303	TFCN17334Y5_001785-T1, TFCN17334Y5_001114-T1
GF00001304	TFCN17334Y5_011920-T1, TFCN17334Y5_009522-T1
GF00001305	TFCN17334Y5_009644-T1, TFCN17334Y5_012292-T1
GF00001306	TFCN17334Y5_003699-T1, TFCN17334Y5_010348-T1
GF00001307	TFCN17334Y5_012023-T1, TFCN17334Y5_001535-T1
GF00001308	TFCN17334Y5_010874-T1, TFCN17334Y5_000086-T1
GF00001309	TFCN17334Y5_000946-T1, TFCN17334Y5_008322-T1
GF00001310	TFCN17334Y5_005468-T1, TFCN17334Y5_006787-T1
GF00001311	TFCN17334Y5_007824-T1, TFCN17334Y5_007636-T1
GF00001312	TFCN17334Y5_007212-T1, TFCN17334Y5_000132-T1
GF00001313	TFCN17334Y5_008813-T1, TFCN17334Y5_005150-T1
GF00001314	TFCN17334Y5_011778-T1, TFCN17334Y5_002340-T1
GF00001315	TFCN17334Y5_008303-T1, TFCN17334Y5_000929-T1
GF00001316	TFCN17334Y5_009989-T1, TFCN17334Y5_010360-T1
GF00001317	TFCN17334Y5_012148-T1, TFCN17334Y5_008693-T1
GF00001318	TFCN17334Y5_007092-T1, TFCN17334Y5_013464-T1
GF00001319	TFCN17334Y5_005847-T1, TFCN17334Y5_002658-T1
GF00001320	TFCN17334Y5_001095-T1, TFCN17334Y5_001766-T1
GF00001321	TFCN17334Y5_013328-T1, TFCN17334Y5_004593-T1
GF00001322	TFCN17334Y5_002160-T1, TFCN17334Y5_002007-T1
GF00001323	TFCN17334Y5_008935-T1, TFCN17334Y5_000420-T1
GF00001324	TFCN17334Y5_006339-T1, TFCN17334Y5_003578-T1
GF00001325	TFCN17334Y5_005992-T1, TFCN17334Y5_011246-T1
GF00001326	TFCN17334Y5_007039-T1, TFCN17334Y5_003805-T1
GF00001327	TFCN17334Y5_000506-T1, TFCN17334Y5_012521-T1
GF00001328	TFCN17334Y5_001023-T1, TFCN17334Y5_001692-T1
GF00001329	TFCN17334Y5_001279-T1, TFCN17334Y5_003500-T1
GF00001330	TFCN17334Y5_003107-T1, TFCN17334Y5_005623-T1
GF00001331	TFCN17334Y5_006619-T1, TFCN17334Y5_008745-T1
GF00001332	TFCN17334Y5_010318-T1, TFCN17334Y5_003668-T1
GF00001333	TFCN17334Y5_002979-T1, TFCN17334Y5_009768-T1
GF00001334	TFCN17334Y5_004651-T1, TFCN17334Y5_008549-T1
GF00001335	TFCN17334Y5_005512-T1, TFCN17334Y5_007945-T1
GF00001336	TFCN17334Y5_012994-T1, TFCN17334Y5_008410-T1
GF00001337	TFCN17334Y5_002259-T1, TFCN17334Y5_000723-T1
GF00001338	TFCN17334Y5_004899-T1, TFCN17334Y5_003195-T1
GF00001339	TFCN17334Y5_009870-T1, TFCN17334Y5_006255-T1
GF00001340	TFCN17334Y5_007859-T1, TFCN17334Y5_005301-T1
GF00001341	TFCN17334Y5_006200-T1, TFCN17334Y5_001630-T1
GF00001342	TFCN17334Y5_000666-T1, TFCN17334Y5_003244-T1
GF00001343	TFCN17334Y5_010966-T1, TFCN17334Y5_005571-T1
GF00001344	TFCN17334Y5_001594-T1, TFCN17334Y5_006180-T1
GF00001345	TFCN17334Y5_011149-T1, TFCN17334Y5_009954-T1
GF00001346	TFCN17334Y5_013658-T1, TFCN17334Y5_005090-T1
GF00001347	TFCN17334Y5_008597-T1, TFCN17334Y5_008487-T1
GF00001348	TFCN17334Y5_008499-T1, TFCN17334Y5_008585-T1
GF00001349	TFCN17334Y5_012222-T1, TFCN17334Y5_004280-T1
GF00001350	TFCN17334Y5_009014-T1, TFCN17334Y5_000441-T1
GF00001351	TFCN17334Y5_000544-T1, TFCN17334Y5_010845-T1
GF00001352	TFCN17334Y5_001364-T1, TFCN17334Y5_003419-T1
GF00001353	TFCN17334Y5_010770-T1, TFCN17334Y5_000851-T1
GF00001354	TFCN17334Y5_008176-T1, TFCN17334Y5_011641-T1
GF00001355	TFCN17334Y5_003422-T1, TFCN17334Y5_001361-T1
GF00001356	TFCN17334Y5_005207-T1, TFCN17334Y5_004980-T1
GF00001357	TFCN17334Y5_012923-T1, TFCN17334Y5_012446-T1
GF00001358	TFCN17334Y5_000212-T1, TFCN17334Y5_007419-T1
GF00001359	TFCN17334Y5_001860-T1, TFCN17334Y5_001185-T1
GF00001360	TFCN17334Y5_009850-T1, TFCN17334Y5_006273-T1
GF00001361	TFCN17334Y5_008471-T1, TFCN17334Y5_008612-T1
GF00001362	TFCN17334Y5_011146-T1, TFCN17334Y5_009951-T1
GF00001363	TFCN17334Y5_013032-T1, TFCN17334Y5_008172-T1
GF00001364	TFCN17334Y5_004999-T1, TFCN17334Y5_005218-T1
GF00001365	TFCN17334Y5_005404-T1, TFCN17334Y5_006286-T1
GF00001366	TFCN17334Y5_000323-T1, TFCN17334Y5_000594-T1
GF00001367	TFCN17334Y5_007008-T1, TFCN17334Y5_003834-T1
GF00001368	TFCN17334Y5_002646-T1, TFCN17334Y5_005867-T1
GF00001369	TFCN17334Y5_000745-T1, TFCN17334Y5_007530-T1
GF00001370	TFCN17334Y5_011648-T1, TFCN17334Y5_006570-T1
GF00001371	TFCN17334Y5_014306-T1, TFCN17334Y5_012570-T1
GF00001372	TFCN17334Y5_007819-T1, TFCN17334Y5_007641-T1
GF00001373	TFCN17334Y5_009261-T1, TFCN17334Y5_004491-T1
GF00001374	TFCN17334Y5_011047-T1, TFCN17334Y5_002472-T1
GF00001375	TFCN17334Y5_007634-T1, TFCN17334Y5_007826-T1
GF00001376	TFCN17334Y5_012117-T1, TFCN17334Y5_003755-T1
GF00001377	TFCN17334Y5_011420-T1, TFCN17334Y5_006702-T1
GF00001378	TFCN17334Y5_009145-T1, TFCN17334Y5_009811-T1
GF00001379	TFCN17334Y5_001652-T1, TFCN17334Y5_006224-T1
GF00001380	TFCN17334Y5_001120-T1, TFCN17334Y5_001793-T1
GF00001381	TFCN17334Y5_006065-T1, TFCN17334Y5_012639-T1
GF00001382	TFCN17334Y5_008301-T1, TFCN17334Y5_000927-T1
GF00001383	TFCN17334Y5_009709-T1, TFCN17334Y5_006504-T1
GF00001384	TFCN17334Y5_010393-T1, TFCN17334Y5_010022-T1
GF00001385	TFCN17334Y5_006654-T1, TFCN17334Y5_008769-T1
GF00001386	TFCN17334Y5_010562-T1, TFCN17334Y5_006408-T1
GF00001387	TFCN17334Y5_004616-T1, TFCN17334Y5_013552-T1
GF00001388	TFCN17334Y5_000344-T1, TFCN17334Y5_011615-T1
GF00001389	TFCN17334Y5_000829-T1, TFCN17334Y5_010749-T1
GF00001390	TFCN17334Y5_000290-T1, TFCN17334Y5_000626-T1
GF00001391	TFCN17334Y5_001100-T1, TFCN17334Y5_001770-T1
GF00001392	TFCN17334Y5_013880-T1, TFCN17334Y5_006917-T1
GF00001393	TFCN17334Y5_001922-T1, TFCN17334Y5_002077-T1
GF00001394	TFCN17334Y5_001550-T1, TFCN17334Y5_012011-T1
GF00001395	TFCN17334Y5_010954-T1, TFCN17334Y5_005558-T1
GF00001396	TFCN17334Y5_000642-T1, TFCN17334Y5_000273-T1
GF00001397	TFCN17334Y5_006005-T1, TFCN17334Y5_011231-T1
GF00001398	TFCN17334Y5_012739-T1, TFCN17334Y5_009676-T1
GF00001399	TFCN17334Y5_010722-T1, TFCN17334Y5_005705-T1
GF00001400	TFCN17334Y5_009107-T1, TFCN17334Y5_013570-T1
GF00001401	TFCN17334Y5_014503-T1, TFCN17334Y5_014537-T1
GF00001402	TFCN17334Y5_005660-T1, TFCN17334Y5_003086-T1
GF00001403	TFCN17334Y5_003824-T1, TFCN17334Y5_007019-T1
GF00001404	TFCN17334Y5_000183-T1, TFCN17334Y5_007393-T1
GF00001405	TFCN17334Y5_010146-T1, TFCN17334Y5_004198-T1
GF00001406	TFCN17334Y5_007266-T1, TFCN17334Y5_001490-T1
GF00001407	TFCN17334Y5_008235-T1, TFCN17334Y5_012815-T1
GF00001408	TFCN17334Y5_001704-T1, TFCN17334Y5_001035-T1
GF00001409	TFCN17334Y5_011483-T1, TFCN17334Y5_014057-T1
GF00001410	TFCN17334Y5_005229-T1, TFCN17334Y5_005005-T1
GF00001411	TFCN17334Y5_012933-T1, TFCN17334Y5_013894-T1
GF00001412	TFCN17334Y5_005345-T1, TFCN17334Y5_007908-T1
GF00001413	TFCN17334Y5_005597-T1, TFCN17334Y5_014066-T1
GF00001414	TFCN17334Y5_000785-T1, TFCN17334Y5_007494-T1
GF00001415	TFCN17334Y5_013395-T1, TFCN17334Y5_000875-T1
GF00001416	TFCN17334Y5_003372-T1, TFCN17334Y5_002875-T1
GF00001417	TFCN17334Y5_000740-T1, TFCN17334Y5_007535-T1
GF00001418	TFCN17334Y5_002491-T1, TFCN17334Y5_011028-T1
GF00001419	TFCN17334Y5_003165-T1, TFCN17334Y5_004929-T1
GF00001420	TFCN17334Y5_008722-T1, TFCN17334Y5_001226-T1
GF00001421	TFCN17334Y5_012704-T1, TFCN17334Y5_014446-T1
GF00001422	TFCN17334Y5_004853-T1, TFCN17334Y5_001429-T1
GF00001423	TFCN17334Y5_009802-T1, TFCN17334Y5_009154-T1
GF00001424	TFCN17334Y5_005017-T1, TFCN17334Y5_005240-T1
GF00001425	TFCN17334Y5_004523-T1, TFCN17334Y5_009409-T1
GF00001426	TFCN17334Y5_010207-T1, TFCN17334Y5_005126-T1
GF00001427	TFCN17334Y5_012683-T1, TFCN17334Y5_006036-T1
