	Rhodotorula_mucilaginosa_TFCN_17-334Y-5.cds.fa
GF00000011	TFCN17334Y5_008837-T1, TFCN17334Y5_009311-T1, TFCN17334Y5_002731-T1, TFCN17334Y5_012393-T1, TFCN17334Y5_013780-T1, TFCN17334Y5_007362-T1, TFCN17334Y5_007746-T1, TFCN17334Y5_014094-T1, TFCN17334Y5_009510-T1, TFCN17334Y5_007747-T1, TFCN17334Y5_013282-T1, TFCN17334Y5_005099-T1, TFCN17334Y5_012559-T1, TFCN17334Y5_005100-T1, TFCN17334Y5_012561-T1, TFCN17334Y5_012560-T1
GF00000012	TFCN17334Y5_013777-T1, TFCN17334Y5_012389-T1, TFCN17334Y5_011711-T1, TFCN17334Y5_006712-T1, TFCN17334Y5_011543-T1, TFCN17334Y5_009895-T1, TFCN17334Y5_006231-T1, TFCN17334Y5_005811-T1, TFCN17334Y5_012626-T1, TFCN17334Y5_006053-T1, TFCN17334Y5_011410-T1, TFCN17334Y5_013468-T1, TFCN17334Y5_009085-T1, TFCN17334Y5_013346-T1, TFCN17334Y5_001269-T1, TFCN17334Y5_003509-T1
GF00000013	TFCN17334Y5_013305-T1, TFCN17334Y5_014029-T1, TFCN17334Y5_007724-T1, TFCN17334Y5_007329-T1, TFCN17334Y5_001584-T1, TFCN17334Y5_006156-T1, TFCN17334Y5_006662-T1, TFCN17334Y5_008776-T1, TFCN17334Y5_008290-T1, TFCN17334Y5_000915-T1, TFCN17334Y5_007020-T1, TFCN17334Y5_003823-T1, TFCN17334Y5_003909-T1, TFCN17334Y5_010599-T1
GF00000014	TFCN17334Y5_012794-T1, TFCN17334Y5_007281-T1, TFCN17334Y5_001504-T1, TFCN17334Y5_006456-T1, TFCN17334Y5_010686-T1, TFCN17334Y5_012616-T1, TFCN17334Y5_010415-T1, TFCN17334Y5_010479-T1, TFCN17334Y5_004479-T1, TFCN17334Y5_000111-T1, TFCN17334Y5_012784-T1, TFCN17334Y5_000162-T1, TFCN17334Y5_014461-T1, TFCN17334Y5_004196-T1
GF00000015	TFCN17334Y5_003725-T1, TFCN17334Y5_005696-T1, TFCN17334Y5_009439-T1, TFCN17334Y5_004656-T1, TFCN17334Y5_008544-T1, TFCN17334Y5_005366-T1, TFCN17334Y5_010724-T1, TFCN17334Y5_011068-T1, TFCN17334Y5_007887-T1, TFCN17334Y5_011069-T1, TFCN17334Y5_007886-T1, TFCN17334Y5_010725-T1, TFCN17334Y5_011067-T1, TFCN17334Y5_005695-T1
GF00000016	TFCN17334Y5_002365-T1, TFCN17334Y5_011265-T1, TFCN17334Y5_004785-T1, TFCN17334Y5_005768-T1, TFCN17334Y5_001353-T1, TFCN17334Y5_005767-T1, TFCN17334Y5_004784-T1, TFCN17334Y5_013501-T1, TFCN17334Y5_005453-T1, TFCN17334Y5_013499-T1, TFCN17334Y5_003430-T1, TFCN17334Y5_005456-T1, TFCN17334Y5_005455-T1, TFCN17334Y5_003431-T1
GF00000017	TFCN17334Y5_005494-T1, TFCN17334Y5_006814-T1, TFCN17334Y5_007245-T1, TFCN17334Y5_001471-T1, TFCN17334Y5_005168-T1, TFCN17334Y5_008831-T1, TFCN17334Y5_013512-T1, TFCN17334Y5_013731-T1, TFCN17334Y5_013854-T1, TFCN17334Y5_013237-T1, TFCN17334Y5_004231-T1, TFCN17334Y5_010187-T1, TFCN17334Y5_004230-T1
GF00000018	TFCN17334Y5_010990-T1, TFCN17334Y5_002031-T1, TFCN17334Y5_010048-T1, TFCN17334Y5_010055-T1, TFCN17334Y5_010046-T1, TFCN17334Y5_000038-T1, TFCN17334Y5_010056-T1, TFCN17334Y5_010989-T1, TFCN17334Y5_010045-T1, TFCN17334Y5_010988-T1, TFCN17334Y5_010047-T1, TFCN17334Y5_002184-T1, TFCN17334Y5_002183-T1
GF00000019	TFCN17334Y5_003112-T1, TFCN17334Y5_005627-T1, TFCN17334Y5_001436-T1, TFCN17334Y5_009642-T1, TFCN17334Y5_009641-T1, TFCN17334Y5_012288-T1, TFCN17334Y5_004862-T1, TFCN17334Y5_004528-T1, TFCN17334Y5_009406-T1, TFCN17334Y5_012289-T1, TFCN17334Y5_009639-T1, TFCN17334Y5_012290-T1, TFCN17334Y5_009640-T1
GF00000020	TFCN17334Y5_011180-T1, TFCN17334Y5_009986-T1, TFCN17334Y5_009771-T1, TFCN17334Y5_005281-T1, TFCN17334Y5_002982-T1, TFCN17334Y5_011416-T1, TFCN17334Y5_006706-T1, TFCN17334Y5_007838-T1, TFCN17334Y5_000192-T1, TFCN17334Y5_007402-T1, TFCN17334Y5_011457-T1, TFCN17334Y5_004400-T1
